ID;dart;x;y;z
511;3980;0.53033;-0;0.53033
40;212;0.92388;0.25;-0.382683
265;2018;-1.20741;0;-0.323524
482;3748;0.608253;0.125;1.05352
282;2148;-0.776791;0.125;-0.102267
266;2020;-1.17506;0.125;-0.314855
250;1892;-0.866025;-0.25;-0.5
404;3124;-0.29983;-0.125;0.723854
443;3436;0;-0.216506;1.125
397;3074;-0.478354;-0;1.15485
267;2028;-1.08667;0.216506;-0.291171
364;2804;-0.707107;0.25;0.707107
268;2036;-0.965926;0.25;-0.258819
270;2052;-0.756797;0.125;-0.202783
273;2076;-0.845185;-0.216506;-0.226467
274;2084;-0.965926;-0.25;-0.258819
276;2100;-1.17506;-0.125;-0.314855
367;2828;-0.53033;-0;0.53033
278;2116;-1.2061;0.125;-0.158786
401;3100;-0.334848;0.216506;0.808395
279;2124;-1.11538;0.216506;-0.146842
244;1844;-0.866025;0.25;-0.5
281;2140;-0.867514;0.216506;-0.114211
284;2164;-0.776791;-0.125;-0.102267
372;2868;-0.8602;-0.125;0.8602
141;1020;0.11421;-0.216506;-0.867514
28;116;0.965926;0.25;-0.258819
352;2708;-0.793353;0.25;0.608761
285;2172;-0.867514;-0.216506;-0.114211
286;2180;-0.991445;-0.25;-0.130526
287;2188;-1.11538;-0.216506;-0.146842
423;3276;-0.146843;0.216506;1.11538
330;2532;-0.723854;0.125;0.29983
46;260;0.92388;-0.25;-0.382683
289;2210;-1.25;0;0
490;3812;0.5;-0.25;0.866025
290;2212;-1.21651;0.125;0
291;2220;-1.125;0.216506;0
293;2236;-0.875;0.216506;0
70;452;0.793353;-0.25;-0.608761
295;2252;-0.75;0;0
300;2292;-1.21651;-0.125;-0
403;3116;-0.287013;-0;0.69291
302;2308;-1.2061;0.125;0.158786
80;532;0.554014;-0.125;-0.554014
303;2316;-1.11538;0.216506;0.146842
166;1220;-0.130526;-0.25;-0.991445
304;2324;-0.991445;0.25;0.130526
518;4036;0.965119;0.125;0.740562
334;2564;-0.92388;-0.25;0.382683
305;2332;-0.867514;0.216506;0.114211
391;3020;-0.375;-0;0.649519
310;2372;-0.991445;-0.25;0.130526
311;2380;-1.11538;-0.216506;0.146842
53;316;0.757772;0.216506;-0.4375
312;2388;-1.2061;-0.125;0.158786
313;2402;-1.20741;-0;0.323524
315;2412;-1.08667;0.216506;0.291171
318;2436;-0.756797;0.125;0.202783
169;1250;-0.323524;0;-1.20741
508;3956;0.707106;0.25;0.707107
526;4100;0.793353;-0.25;0.608761
84;564;0.8602;-0.125;-0.8602
527;4108;0.892523;-0.216506;0.684856
321;2460;-0.845185;-0.216506;0.226467
322;2468;-0.965926;-0.25;0.258819
233;1756;-0.694184;0.216506;-0.532666
416;3220;-0.202783;-0.125;0.756797
324;2484;-1.17506;-0.125;0.314855
326;2500;-1.12391;0.125;0.465536
327;2508;-1.03937;0.216506;0.430518
328;2516;-0.92388;0.25;0.382683
331;2540;-0.69291;-0;0.287012
332;2548;-0.723854;-0.125;0.29983
335;2572;-1.03937;-0.216506;0.430518
317;2428;-0.845185;0.216506;0.226467
370;2852;-0.707107;-0.25;0.707107
337;2594;-1.08253;-0;0.625
338;2596;-1.05353;0.125;0.608253
124;884;0.258819;0.25;-0.965926
474;3684;0.29983;0.125;0.723854
128;916;0.202783;-0.125;-0.756797
339;2604;-0.974279;0.216506;0.5625
340;2612;-0.866026;0.25;0.5
341;2620;-0.757772;0.216506;0.4375
523;4076;0.595015;-0;0.456571
343;2636;-0.649519;-0;0.375
344;2644;-0.678525;-0.125;0.391747
439;3404;0;-0;0.75
79;524;0.53033;0;-0.53033
349;2690;-0.991692;-0;0.760952
297;2268;-0.875;-0.216506;-0
350;2692;-0.965119;0.125;0.740562
353;2716;-0.694184;0.216506;0.532666
355;2732;-0.595015;-0;0.456571
477;3708;0.334848;-0.216506;0.808394
14;46;0.75;0;0
507;3948;0.795495;0.216506;0.795496
358;2756;-0.793353;-0.25;0.608761
360;2772;-0.965119;-0.125;0.740562
422;3268;-0.158787;0.125;1.2061
362;2788;-0.8602;0.125;0.8602
175;1292;-0.194114;0;-0.724444
366;2820;-0.554014;0.125;0.554013
368;2836;-0.554014;-0.125;0.554013
213;1596;-0.532666;-0.216506;-0.694184
371;2860;-0.795495;-0.216506;0.795495
373;2882;-0.760952;-0;0.991691
374;2884;-0.740563;0.125;0.965119
252;1908;-1.05352;-0.125;-0.608253
378;2916;-0.476961;0.125;0.621587
379;2924;-0.456571;-0;0.595015
381;2940;-0.532667;-0.216506;0.694184
107;748;0.5625;-0.216506;-0.974279
383;2956;-0.684857;-0.216506;0.892522
384;2964;-0.740563;-0.125;0.965119
497;3868;0.532666;0.216506;0.694184
109;770;0.478355;0;-1.15485
385;2978;-0.625;-0;1.08253
387;2988;-0.5625;0.216506;0.974279
388;2996;-0.5;0.25;0.866026
389;3004;-0.4375;0.216506;0.757772
160;1172;-0.130526;0.25;-0.991445
390;3012;-0.391747;0.125;0.678525
392;3028;-0.391747;-0.125;0.678525
3;4;1.2061;0.125;-0.158786
126;900;0.202783;0.125;-0.756797
427;3308;-0.097895;-0;0.743584
202;1508;-0.5;-0.25;-0.866026
258;1956;-0.723854;0.125;-0.29983
393;3036;-0.4375;-0.216506;0.757772
441;3420;0;-0.216506;0.875
39;204;1.03936;0.216506;-0.430519
396;3060;-0.608253;-0.125;1.05353
398;3076;-0.465537;0.125;1.1239
399;3084;-0.430519;0.216506;1.03936
475;3692;0.287013;-0;0.69291
407;3148;-0.430519;-0.216506;1.03936
251;1900;-0.974278;-0.216506;-0.5625
382;2948;-0.608762;-0.25;0.793353
408;3156;-0.465537;-0.125;1.1239
410;3172;-0.314855;0.125;1.17506
465;3612;0.226466;-0.216506;0.845185
131;940;0.291171;-0.216506;-1.08667
309;2364;-0.867514;-0.216506;0.114211
411;3180;-0.291172;0.216506;1.08667
486;3780;0.391747;0.125;0.678525
412;3188;-0.258819;0.25;0.965926
413;3196;-0.226467;0.216506;0.845185
414;3204;-0.202783;0.125;0.756797
445;3458;0.163158;-0;1.23931
345;2652;-0.757772;-0.216506;0.4375
417;3228;-0.226467;-0.216506;0.845185
420;3252;-0.314855;-0.125;1.17506
467;3628;0.291171;-0.216506;1.08667
483;3756;0.5625;0.216506;0.974279
182;1348;-0.465537;0.125;-1.1239
421;3266;-0.163158;-0;1.23931
129;924;0.226467;-0.216506;-0.845185
426;3300;-0.102267;0.125;0.776791
429;3324;-0.114211;-0.216506;0.867514
174;1284;-0.202783;0.125;-0.756797
307;2348;-0.743584;-0;0.097895
