ID;dart
557;2173
667;2613
10;23
217;813
331;1269
108;379
316;1211
40;107
104;363
311;1189
245;925
693;2717
880;3467
1014;4003
98;339
972;3835
149;541
49;141
601;2349
961;3789
415;1605
943;3717
448;1739
33;85
740;2907
286;1091
97;333
58;179
898;3539
206;771
250;947
55;165
646;2531
934;3683
438;1699
123;437
1100;4347
471;1829
42;115
758;2979
864;3403
322;1235
567;2213
289;1101
75;245
774;3043
869;3421
52;155
121;429
139;501
1047;4133
502;1955
131;469
63;197
626;2451
91;309
576;2251
263;997
929;3661
790;3107
291;1109
78;259
550;2147
159;581
913;3597
392;1515
323;1237
132;475
496;1931
1092;4315
200;747
36;95
839;3301
418;1619
556;2171
1048;4139
177;653
230;867
221;829
142;515
1103;4357
1012;3995
875;3445
27;69
1148;4565
328;1259
166;611
242;915
337;1293
165;605
70;227
119;421
574;2243
196;731
481;1869
402;1555
718;2819
998;3939
151;549
862;3395
154;563
935;3685
303;1157
676;2651
540;2107
830;3267
155;565
157;577
886;3491
158;579
309;1181
160;587
19;47
806;3171
468;1819
964;3803
747;2933
854;3363
405;1565
201;749
318;1219
430;1667
949;3745
1114;4403
970;3827
65;205
162;595
511;1989
591;2309
285;1085
267;1013
1058;4179
253;961
169;621
480;1867
211;789
170;627
356;1371
752;2955
173;637
642;2515
109;385
518;2019
748;2939
1102;4355
833;3277
449;1741
915;3605
180;667
181;673
529;2061
514;2003
103;357
261;989
182;675
3;5
57;173
34;87
54;163
707;2773
143;517
957;3773
638;2499
189;701
731;2869
185;685
733;2881
1015;4005
30;77
689;2701
1083;4277
924;3643
66;211
191;709
1052;4155
192;715
654;2563
348;1339
1030;4067
199;741
948;3739
145;525
1078;4259
224;843
203;757
506;1971
204;763
207;773
1026;4051
954;3763
395;1525
1101;4349
148;539
1059;4181
2;3
214;803
215;805
11;27
255;965
965;3805
544;2123
225;845
1087;4293
1121;4429
216;811
280;1067
257;973
1116;4411
259;981
770;3027
431;1669
822;3235
223;837
116;411
294;1123
38;99
60;187
168;619
239;901
172;635
580;2267
23;59
24;61
6;13
193;717
244;923
382;1475
248;939
1135;4485
107;373
956;3771
251;949
219;821
198;739
670;2627
551;2149
146;531
252;955
881;3469
910;3587
525;2045
542;2115
498;1939
543;2117
545;2125
547;2133
708;2779
1053;4157
549;2141
552;2155
495;1925
417;1613
819;3221
439;1701
554;2163
958;3779
1082;4275
210;787
555;2165
138;499
782;3075
1001;3949
640;2507
561;2189
137;493
562;2195
564;2203
635;2485
700;2747
569;2221
571;2229
572;2235
573;2237
577;2253
767;3013
579;2261
581;2269
583;2277
308;1179
1071;4229
584;2283
901;3553
585;2285
586;2291
587;2293
588;2299
953;3757
725;2845
589;2305
590;2307
952;3755
1040;4107
1044;4123
593;2317
595;2325
596;2331
701;2749
597;2333
397;1537
176;651
598;2339
599;2341
234;883
615;2405
914;3603
53;157
865;3405
18;45
602;2355
603;2357
604;2363
605;2365
606;2371
174;643
607;2373
608;2379
683;2677
609;2381
611;2389
5;11
363;1397
787;3093
614;2403
270;1027
616;2411
659;2581
617;2413
618;2419
650;2547
87;293
765;3005
622;2435
623;2437
624;2443
1090;4307
627;2453
628;2459
560;2187
631;2469
633;2477
894;3523
639;2501
928;3659
643;2517
645;2525
1096;4331
648;2539
1021;4033
649;2541
651;2549
655;2565
980;3867
213;797
652;2555
653;2557
656;2571
858;3379
457;1773
921;3629
661;2593
662;2595
664;2603
473;1837
734;2883
665;2605
666;2611
668;2619
669;2621
1043;4117
673;2637
675;2645
677;2653
706;2771
973;3841
1007;3973
678;2659
679;2661
680;2667
94;323
1061;4189
743;2917
681;2669
1107;4373
682;2675
1081;4269
686;2691
1018;4019
690;2707
735;2885
684;2683
691;2709
692;2715
988;3899
695;2725
110;387
696;2731
25;63
83;277
241;909
699;2741
967;3813
704;2763
709;2785
92;315
710;2787
826;3251
1146;4549
711;2789
35;91
712;2795
715;2805
716;2811
389;1501
466;1811
717;2813
719;2821
144;523
720;2827
919;3621
721;2829
722;2835
422;1635
723;2837
1142;4517
724;2843
726;2851
688;2699
1069;4225
727;2853
728;2859
729;2861
592;2315
737;2893
738;2899
739;2901
741;2909
744;2923
612;2395
745;2925
753;2957
755;2965
256;971
836;3291
634;2483
730;2867
756;2971
8;19
620;2427
757;2977
759;2981
897;3533
760;2987
761;2989
1016;4011
269;1021
500;1947
763;2997
766;3011
768;3019
793;3117
179;661
769;3021
771;3029
773;3037
106;371
775;3045
658;2579
776;3051
777;3053
685;2689
247;933
780;3067
783;3077
846;3331
784;3083
813;3197
786;3091
789;3101
792;3115
794;3123
944;3723
798;3139
873;3437
29;75
800;3147
801;3149
532;2075
802;3155
803;3157
983;3877
804;3163
1125;4445
847;3333
882;3475
805;3169
1013;3997
808;3179
892;3515
810;3187
812;3195
904;3563
499;1941
816;3211
817;3213
820;3227
872;3435
